device_id,device_info_id,device_location,device_parameters,is_active,active_from,active_to,
1,1,Living Room,Temperature set to 22°C,1,2023-11-01 08:00:00,2023-11-01 20:00:00,
2,2,Kitchen,Brightness level: 70%,0,null,null,
3,2,Hallway,Brightness level: 60%,1,2023-11-02 18:00:00,2023-11-02 23:00:00,
4,3,Master Bedroom,PM2.5 level: 12 μg/m³,1,2023-11-01 09:00:00,2023-11-01 17:00:00,
5,3,Bathroom,Humidity level: 40%,1,2023-11-02 08:00:00,2023-11-02 08:30:00,
6,4,Office Room,Cooling to 24°C,1,2023-11-01 09:30:00,2023-11-01 17:30:00,
7,4,Bedroom,AC set to 22°C for night,0,null,null,
8,5,Living Room,Fan speed: Medium,0,null,null,
9,5,Dining Room,Fan speed: High during dinner time,1,2023-11-02 20:00:00,2023-11-02 22:00:00,
10,6,Front Yard,Camera mode: Surveillance,1,2023-11-01 00:00:00,2023-11-01 23:59:59,
11,6,Backyard,Camera mode: Daytime,0,null,null,
12,7,Main Door,Doorbell ring volume: High,1,2023-11-01 07:00:00,2023-11-01 19:00:00,
13,8,Back Door,Lock status: Engaged,1,2023-11-01 23:00:00,2023-11-02 07:00:00,
14,8,Main Entrance,Lock status: Auto-lock active,1,2023-11-02 22:00:00,2023-11-03 06:00:00,
15,9,Bedroom Window,Blinds position: Half-open,0,null,null,
16,9,Living Room,Blinds schedule: Open at sunrise,1,2023-11-02 06:30:00,2023-11-02 18:00:00,
17,10,Kitchen,Temperature: 3°C, Ice maker: On,1,2023-11-01 10:00:00,2023-11-01 22:00:00,
18,11,Office,Oven preheat to 180°C,1,2023-11-02 17:00:00,2023-11-02 17:30:00,
19,12,Kitchen,Brewing strength: Strong,1,2023-11-02 07:00:00,2023-11-02 07:10:00,
20,13,Laundry Room,Washing mode: Eco,1,2023-11-02 19:00:00,2023-11-02 20:30:00,
21,14,Living Room,Volume level: 12,0,null,null,
22,15,Home Office,Soundbar connected to laptop,0,null,null,
23,16,Bedroom,Playing: Soft Jazz Playlist,1,2023-11-02 21:00:00,2023-11-03 00:00:00,
24,17,Backyard,Sprinkler schedule: Evening,1,2023-11-02 18:00:00,2023-11-02 18:30:00,
