device_name_with_location,year,month,average_energy_consumed,
Amazon Echo Dot (Bedroom),2023,11,3.3,
August Smart Lock (Back Door),2023,11,2.4,
August Smart Lock (Main Entrance),2023,11,2.4,
Bosch Home Connect Oven (Office),2023,11,36.0,
Dyson Air Quality (Bathroom),2023,11,7.2,
Dyson Air Quality (Master Bedroom),2023,11,8.8,
Dyson Pure Cool (Dining Room),2023,11,0.53,
Dyson Pure Cool (Living Room),2023,11,0.48,
LG SmartThinQ AC (Bedroom),2023,11,24.0,
LG SmartThinQ AC (Office Room),2023,11,36.0,
LG Twin Wash (Laundry Room),2023,11,25.0,
Lutron Serena Smart Blind (Bedroom Window),2023,11,0.48,
Lutron Serena Smart Blind (Living Room),2023,11,1.085,
Nespresso Expert (Kitchen),2023,11,2.4,
Nest Cam Outdoor (Backyard),2023,11,2.4,
Nest Cam Outdoor (Front Yard),2023,11,7.0,
Nest Thermostat (Living Room),2023,11,16.8,
Philips Hue Switch (Hallway),2023,11,0.069,
Philips Hue Switch (Kitchen),2023,11,0.024,
Rachio Smart Sprinkler (Backyard),2023,11,1.2,
Ring Video Doorbell (Main Door),2023,11,2.16,
Samsung Family Hub (Kitchen),2023,11,32.4,
Sonos Beam (Home Office),2023,11,3.6,
Sony Bravia Smart TV (Living Room),2023,11,2.4,
