device_name,device_location,is_active,
Nest Thermostat,Living Room,1,
Philips Hue Switch,Kitchen,0,
Philips Hue Switch,Hallway,1,
Dyson Air Quality,Master Bedroom,1,
Dyson Air Quality,Bathroom,1,
LG SmartThinQ AC,Office Room,1,
LG SmartThinQ AC,Bedroom,0,
Dyson Pure Cool,Living Room,0,
Dyson Pure Cool,Dining Room,1,
Nest Cam Outdoor,Front Yard,1,
Nest Cam Outdoor,Backyard,0,
Ring Video Doorbell,Main Door,1,
August Smart Lock,Back Door,1,
August Smart Lock,Main Entrance,1,
Lutron Serena Smart Blind,Bedroom Window,0,
Lutron Serena Smart Blind,Living Room,1,
Samsung Family Hub,Kitchen,1,
Bosch Home Connect Oven,Office,1,
Nespresso Expert,Kitchen,1,
LG Twin Wash,Laundry Room,1,
Sony Bravia Smart TV,Living Room,0,
Sonos Beam,Home Office,0,
Amazon Echo Dot,Bedroom,1,
Rachio Smart Sprinkler,Backyard,1,
