device_name,device_activePower,device_standbyPower,
Nest Thermostat,1.2,0.2,
Philips Hue Switch,0.01,0.001,
Dyson Air Quality,0.5,0.3,
LG SmartThinQ AC,2.5,1.0,
Dyson Pure Cool,0.045,0.02,
Nest Cam Outdoor,0.3,0.1,
Ring Video Doorbell,0.15,0.03,
August Smart Lock,0.2,0.05,
Lutron Serena Smart Blind,0.075,0.02,
Samsung Family Hub,1.8,0.9,
Bosch Home Connect Oven,3.5,1.5,
Nespresso Expert,0.25,0.1,
LG Twin Wash,2.0,1.0,
Sony Bravia Smart TV,0.3,0.1,
Sonos Beam,0.5,0.15,
Amazon Echo Dot,0.4,0.1,
Rachio Smart Sprinkler,0.2,0.05,
