device_type_id,device_type_category,device_type_name,
1,Thermostats,Smart Thermostat,
2,Lighting,Smart Light Switch,
3,Environmental Sensors,Air Quality Monitor,
4,Climate Control,Smart Air Conditioner,
5,Climate Control,Smart Fan,
6,Security,Smart Camera,
7,Security,Smart Doorbell,
8,Security,Smart Lock,
9,Security,Smart Blind,
10,Appliances,Smart Refrigerator,
11,Appliances,Smart Oven,
12,Appliances,Smart Coffee Maker,
13,Appliances,Smart Washer & Dryer,
14,Entertainment,Smart TV,
15,Entertainment,Smart SoundBar,
16,Entertainment,Smart Speaker,
17,Irrigation and Gardening,Smart Sprinkler System,
